RatingAverage,QuantitySold,ReviewCount,OriginalPrice,ReviewThankCount,ProductUsageTime,ReviewContent,ReviewStar
4.8,12418,3492,799000,2,19908.0,Hơn 40 ngày mới nhận được mặc dù hết giãn cách từ đầu tháng quá tệ tiki oi,1
4.8,12418,3492,799000,0,68493.0,Sản phẩm ok nhưng Tiki giao hàng chậm quá. Mua hơn 1 tháng mới giao hàng. Lề mề,1
4.8,12418,3492,799000,5,269321.0,"Miếng lau quá nhỏ, phải xả liên tục, lau không sạch. Xem coment khen quá khen, mua và xài thất vọng toàn tập!!!",1
4.8,12418,3492,799000,2,5042117.0,Nhỏ hơn so vs tưởng tượng về nhà lau dc ngày đầu ngày thứ 2 cái tấm lau nó bị rách khó nhúng ra nhúng vào ?,1
4.8,12418,3492,799000,0,65892.0,Thất vọng quá. Cái thùng với cây lau nhà bé tí như cho con nít tập lau nhà vậy.,1
4.8,12418,3492,799000,1,16798.0,"nhựa mỏng, cây yếu, m k hài lòng về sản phẩm",1
4.8,12418,3492,799000,1,2282369.0,bình thuong không ưng ý cho lắm,1
4.8,12418,3492,799000,1,1266029.0,"dùng chán, không vắt khô, lau bị ướt",1
4.8,12418,3492,799000,1,2063711.0,Tôi mua phải hàng không đúng theo đơn đặt hàng,1
4.8,12418,3492,799000,1,1360530.0,"lau ko sạch, chỗ đựng nước thì nhỏ xíu xiu",1
4.8,12418,3492,799000,0,2094222.0,"Đểu, dùng ọp ẹp, mau hỏng",1
4.8,12418,3492,799000,0,25495.0,Rất khó sử dụng. Đề nghị đổi sản phẩm khác,1
4.8,12418,3492,799000,1,5528211.0,"Dễ hư, dễ gãy, khó sử dụng",1
4.8,12418,3492,799000,1,10390.0,"Vị trí lau chùi rất dễ gãy. 
 Giá khá đắt so với các sản phẩm cùng loại, cùng chất luọng ( các loại tương tự  giá chỉ 150k - 200K )

Cây lau khá nhỏ & mỏng manh.",2
4.8,12418,3492,799000,0,162455.0,"Do tình hình dịch bệnh nên dù cách tphcm khoảng 100km nhưng mình đặt hàng 31/8 đến 23/10 mới nhận đc hàng. Lúc nhận hàng sử dụng thì hơi thất vọng☹️. Mình sử dụng qua nhiều loại cây lau nhà, từ 360 độ nhiều thương hiệu, đến loại vắt tay truyền thống, loại này là loại mới nên mình muốn thử xem sao. Lúc mua mình phân vân giữa loại này hay l&l, giá cũng gần bằng nhau nhưng mình mua lạoi này để ủng hộ hàng vn! Mình đã sử dụng và nhận thấy loại này bông lau nhà quá nhỏ và cây lau thì cực kì nhẹ, vì thế khi lau mình phải dùng lực để đè cây sát xuống nền mới lau sạch, bông nhỏ nên lau rất tốn thời gian. Nhà mình 150m2, bthuong mình lau khoảng 20ph là xong. Dùng loại này mình lau mất 35ph và còn phải tốn thêm sức rất mệt do phải đè cây lau cho sát xuống sàn! Nói chung là thất vọng, mn trc khi mua nên tìm hiểu thêm nhé, mua gần 500k về mà nản hết sức",2
4.8,12418,3492,799000,0,881696.0,"Cái bên vận chuyển Ship60 giao hàng rất tệ, bộ sản phẩm xài ok nhưng vì cái đội ship đó nên tôi trừ hết còn 2 sao thôi. Giao kiểu gì cũng hcm mà tới gần 1 tháng mới tới, trong khi những món hàng sau do Best vận chuyển chỉ cần 1-2 ngày đã tới. Đề nghị tiki xem lại đừng hợp tác với cái đơn vị vận chuyển này, bên tiki cũng ko có hướng giải quyết cho khách, gọi lên tổng đài tốn biết bao tiền mà chỉ có 1 câu kêu đợi, đợi gần cả tháng !",2
4.8,12418,3492,799000,2,752339.0,"Sản phẩm khó dùng, yếu, mỏng manh, dù giá cũng k phải rẻ. Mới dùng lần đầu, các khớp cán đã k dính được vào nhau, khi lau muốn gãy.
Quá buồn.
Không biết phụ kiện này có thể mua bên ngoài thay vào dùng đỡ dc vài lần để đỡ xót tiền k?",2
